data.mel-adem-53-seriennummer,data.regenerations-cmd-code,data.regenerations-code
201553MD1767-2,,C765A9-MD-E87F69
202453MD1769-1,,018E0B-MD-E85EC6
1153MD1217-1,,1E9E0B-MD-E8926A
202453MD1544-1,,625E0B-MD-E88BDB
201553MD1586-2,,A345A9-MD-E827A8
202353MD1402-1,,AD25A9-MD-E8996E
202353CMD1048-1,40580B-MC-E86842,
1153MD1233-2,,7B84A9-MD-E82AD0
202453CMD1092-1,FB880B-MC-E8482A,FB880B-MC-E8482A
202053MD1710-2,,D8DE0B-MD-E848DC
202353MD1641-1,,EB240B-MD-E854E3
202453MD1353-1,,84CCCA-MD-E8496E
201853MD1458-1,,8D140B-MD-E8D8D7
201553MD1495-1,,34309B-MD-E8F03D
1453MD1489-1,,73FE0B-MD-E8BFC9
202353MD1204-1,,FD3E0B-MD-E8BF77
202053MD1010-2,,79D5A9-MD-E89B09
201853MD1602-2,,B53E0B-MD-E871D3
1453MD1239-1,,FD1D34-MD-E866AF
202253MD1888-1,,D155A9-MD-E81426
202153CMD1079-1,12ECB9-MC-E8072D,12ECB9-MC-E8072D
202353MD1762-1,,D0DD0B-MD-E88E4E
202053MD1490-1,,974E0B-MD-E80235
202253MD1941-1,,49ED0B-MD-E8A0AB
201753MD1450-2,,F0EA7F-MD-E8B858
202553MD1395-1,,7FA1CB-MD-E8E3B4
201753MD1391-1,,A1A5A9-MD-E86A67
201753MD1413-1,,C17E0B-MD-E8F826
201753MD1720-2,,FBD40C-MD-E8F4C0
202353MD1599-1,,AF55A9-MD-E8B837
202253MD1542-2,,C9CD0B-MD-E802D2
202453MD1820-2,,AA2EAC-MD-E8A1D1
202053MD1232-1,,23F01C-MD-E81FB7
202153MD1675-2,,4CE5A9-MD-E8D9C0
201653MD1833-2,,231E0B-MD-E803A8
202153MD1280-2,,91F5A9-MD-E84F9B
1253MD1300-2,,BD44A9-MD-E8114C
202053CMD1100-1,EA29FC-MC-E8E583,EA29FC-MC-E8E583
202153MD1579-1,,4BE3BC-MD-E89CF5
1153MD1333-1,,71375C-MD-E85346
221753MD1737-1,,9EAD0B-MD-E88760
202253CMD1112-2,17DCB9-MC-E87544,17DCB9-MC-E87544
202253MD1056-2,,A8A5A9-MD-E85BE1
202253CMD1008-2,F3FCB9-MC-E84C57,F3FCB9-MC-E84C57
1353MD1172-1,,BE65A9-MD-E8430A
