data.mel-adem-53-seriennummer,data.regenerations-cmd-code,data.regenerations-code
1153MD1351-2,,D27851-MD-E8D356
202253CMD1041-2,448261-MC-E8BE63,
201953MD1458-1,,C04F40-MD-E819ED
201653MD1920-2,,B77625-MD-E8082C
201853MD1635-2,,ED9B6B-MD-E89816 
202553CMD1089-1,C69F65-MC-E89867,
202253MD1413-2,,B7132F-MD-E853B7
201853CMD1003-2,793346-MC-E896A5,793346-MC-E896A5
145353MD1360-1,,F59496-MD-E86B7A
202453MD1665-1,,375C46-MD-E8E48B
201853MD1458-2,,C88F65-MD-E8B271
201753MD1626-2,,237625-MD-E83730
201753MD1626-1,,7B6625-MD-E8077E
202453MD1334-2,,E24591-MD-E8C969
202553CMD1021-1,561A25-MC-E85C6E,
202453MD1501-1,,21CE0B-MD-E82354
201753CMD1011-1,45EE0A-MC-E8B729,
201953MD1200-2,,FBB625-MD-E83A55
1453MD1252-1,,B4AC46-MD-E8D133
202153MD1448-1,,CEBC46-MD-E8274B
201953MD1066-2,,542E0B-MD-E8C901
202053MD1692-2,,9B9496-MD-E893CB
201853MD1166-1,,F2B625-MD-E8D191
202453CMD1050-1,70180B-MC-E850EF,70180B-MC-E850EF
1153MD1038-1,,126625-MD-E85265
202553MD1175-1,,98B7BD-MD-E8A764
202253MD1784-2,,0FA496-MD-E805E6
1453MD1344-1,,B45625-MD-E8BCAA
202253MD1058-1,,8285A9-MD-E80DD2
202553MD1495-2,,D9F32F-MD-E8677D
202353MD1551-1,,51EE0B-MD-E8D042
201753MD1189-1 ,,D0D625-MD-E85547
201753MD1668-1,,58C496-MD-E86C4C
202353MD1550-2,,2EDE0B-MD-E8C427
202353MD1550-1,,37AD0B-MD-E80E63
202353MD1551-2,,EE8625-MD-E804C6
201653CMD1060-1,6FE596-MC-E8B9CB,
202553MD1746-1,,035206-MD-E83AB3
201753CMD1617-1,7D3346-MC-E8C8DD,	 7D3346-MC-E8C8DD
201553MD1333-1,,2B6206-MD-E8F284
201953MD1388-2,,DB4C46-MD-E81E51
201753MD1717-1,,0E9496-MD-E8F2E7
1453MD1472-1,,5D0312-MD-E8E1F6
201653MD1451-1,,D2F32F-MD-E81231
201953MD1581-2,,CB8625-MD-E8BFE1
201653MD1020-2,,39C496-MD-E82D31
1453MD1460-2,,AC4625-MD-E8067D
202653MD1180-1,,FB4C46-MD-E811F8
202253MD1458-2,,0A8DFD-MD-E8DA90
202153MD1084-1,,552AE2-MD-E8DFED
1153MD1339-2,,995B6B-MD-E83713
202553MD1155-2,,1BDC46-MD-E8B43E
1053MD1048-2,,E4B496-MD-E83993
201753MD1099-2,,9C4625-MD-E8BAD4
202553CMD1090-1,E54406-MC-E8F051,
201653MD1641-2,,3D65A9-MD-E88EB5
201653MD1491-1,,B315A9-MD-E85B18
202553MD1799-1,,D5A206-MD-E8EE13
202353MD1842-2,,1BFC46-MD-E8BD65
201753MD1145-3,,100C46-MD-E8CFA0
202253MD1419-1,,23DC46-MD-E80EC9
201553MD1567-1,,233FB2-MD-E8BAE8
202253CMD1019-2,103346-MC-E8CBD8,
202153MD1677-2,,404206-MD-E80F15
202153MD1502-1,,73C3F3-MD-E874A4
202153MD1502-1,,73C3F3-MD-E874A4
202253CMD1016-2,3C90F3-MC-E80EDD,
1253MD1270-2,,707DFD-MD-E8C7AD
202253MD1708-2,,9284A9-MD-E81FE3
202253MD1938-2,,278F65-MD-E8F716
201753MD1009-1,,2F0625-MD-E8621D
202253MD1883-2,,CD70BD-MD-E8F959
202253MD1356-2,,E94206-MD-E87CDB
202153MD1772-1,,A69D0B-MD-E83CE3
202153MD1673-2,,2CB541-MD-E8C042
202253MD1028-2,,884496-MD-E8027C
1453MD1559-2,,856206-MD-E86B88
202453MD1516-1,,547625-MD-E83116
202453MD1809-1,,2E5D87-MD-E89F4F
202353MD1199-1,,DF2FB2-MD-E886F3
201653MD1846-3,,DFD496-MD-E80359
201753MD1316-2,,TEST01-MD-Test01
201853CMD1037-1,F52346-MC-E83A51,
1453MD1536-2,,010625-MD-E81AD1
202053MD1544-1,,C12D97-MD-E89917
202153MD1175-1,,58BC46-MD-E8BEEE
201753MD1299-2,,2EF625-MD-E8C126
201753MD1127-1,,498496-MD-E8354A
202453MD1599-1,,75B4A9-MD-E85A3C
202553MD1182-2,,87A4A9-MD-E876DE
201753MD1334-1,,6A7DFD-MD-E8FE51
201753MD1169-2,,2DD496-MD-E8B1B1
202253MD1755-2,,2C2FFF-MD-E82787
202153CMD1127-1,3F6346-MC-E873BF,3F6346-MC-E873BF
201753MD1733-3,,272496-MD-E8705D
201653CMD1004-2,E25406-MC-E8B8BB,
1453MD1576-2,,5CCC46-MD-E8BDF4
201753MD1391-1,,57CC46-MD-E8C20E
202053MD1448-1,,D41FB2-MD-E8D9ED 
201653CMD1066-1,B14596-MC-E81CCB,B14596-MC-E81CCB
201853CMD1021-2,5C6346-MC-E8CA23,5C6346-MC-E8CA23
201653MD1054-2,,441BD2-MD-E847A8
1353MD1290-1,,E50C46-MD-E87C38
202453CMD1056-1,A85406-MC-E8A7EF,
201853CMD1010-1,8D2346-MC-E84E34,	 8D2346-MC-E84E34
1353MD1222-2,,3324A9-MD-E8833C
202153MD1584-2,,4744A9-MD-E85638
202053MD1142-2,,711C46-MD-E82E6D
202153MD1844-1,,9BDAA3-MD-E8F761
202353MD1340-1,,EC7C46-MD-E8A481
202053MD1038-1,,FD8C46-MD-E8033B
201553MD1479-1,,83F625-MD-E89E5E
202153MD1141-2,,166C46-MD-E8A619
202653MD1208-1,,CC2932-MD-E813EB
202053MD1358-1,,4DC625-MD-E8C5AF
202053MD1320-1,,213C46-MD-E80BDA
202453MD1805-1,,796496-MD-E87B34
201753MD1673-1,,3FB7BD-MD-E826B7
202053MD1267-1,,992C46-MD-E87CBB
1153MD1353-3,,57A4A9-MD-E86811
201553MD1116-1,,E9038D-MD-E89003
202353MD1436-2,,7375A9-MD-E8104B
201753MD1130-2,,A42C46-MD-E8F46C
201853MD1488-2,,A8E625-MD-E860E4
202253MD1027-1,,CA8C46-MD-E8BF1C
202053MD1431-2,,87E625-MD-E8E1BE
202153CMD1093-1,964346-MC-E87277,964346-MC-E87277
202253MD1632-1,,403FB2-MD-E81350
202353MD1129-2,,A27625-MD-E8B489
202153MD1646-2,,87E625-MD-E812E1
201553MD1277-2,,D4AC46-MD-E806B1
202353MD1468-1,,334E37-MD-E87F35
202253MD1260-1,,0F3625-MD-E84678
202153MD1057-3,,87B87B-MD-E85138
202153MD1346-1,,C9B157-MD-E88434
201753MD1560-2,,548180-MD-E84CE4 
201553MD1750-1,,32E625-MD-E8940C
202553MD1395-1,,8E1007-MD-E8C103
202253CMD1026-3,C4C346-MC-E8FDC5,
201853MD1467-1,,D801AB-MD-E84779
1453MD1462-1,,F004A9-MD-E8C83F
202353MD1390-1,,42FC46-MD-E83F52
202553MD1162-2,,9EE496-MD-E815C3
1453MD1066-2,,870625-MD-E89478
202353MD1830-2,,E067C1-MD-E8FB6A
201653MD1880-1,,05EE0B-MD-E8CEE4
201653MD1817-1,,20DC46-MD-E8766F
202353MD1665-2,,7AF471-MD-E8FCCC
202453MD1449-2,,79AC81-MD-E86982
202553MD1687-1,,9FBC46-MD-E8C100
1153MD1044-2,,133757-MD-E87F99
202553MD1268-1,,691C46-MD-E874CF
202553CMD1045-1,274596-MC-E81EC0,
202553MD1550-1,,674521-MD-E86BBA
201753MD1289-2,,02EC46-MD-E84CF2
202053MD1292-1,,A61117-MD-E8298B
1453MD1075-1,,D9C648-MD-E85416
202453MD1397-2,,C80C28-MD-E8001D
1353MD1447-2,,E10C46-MD-E8E60F
202253CMD1075-2,B11346-MC-E89A4A,
201553MD1336-2,,741C46-MD-E8438F
202253MD1073-1        ,,22AB0A-MD-E8AED6
202553MD1973-2,,8DD1F8-MD-E831FA
202353MD1590-1,,62D1F8-MD-E869D5
202453MD1233-1,,91240B-MD-E89305
201553MD1808-5,,452338-MD-E87BE9
201553MD1658-2,,B70C46-MD-E84163
201653MD1581-1,,70EF67-MD-E8AF17
202053MD1136-2,,E46DFD-MD-E8C971
202553MD1747-1,,7360C7-MD-E87809
201653MD1381-1,,735C46-MD-E8A88F
202153MD1823-2,,778F65-MD-E8DE2C
1453MD1022-1,,120F67-MD-E8EA75
202553MD1544-1,,0A3C46-MD-E87A12
201753MD1660-2,,4FAB6B-MD-E826F1
202553MD1108-2,,77CD0B-MD-E82F6F
202153MD1834-1,,582C46-MD-E89CFE
1353MD1404-2,,B4F342-MD-E8BEE7
202253CMD1071-2,4E280B-MC-E8AC64,4E280B-MC-E8AC64
202053MD1619-2,,997C46-MD-E8CDC6
211853MD1154-1,,7B2C46-MD-E8E716
202053MD1609-2,,1BBF67-MD-E8793A
202153MD1006-1,,B575A9-MD-E825D7
202253CMD1044-2,1F626B-MC-E8A6DD,
202053MD1519-2,,C4AC46-MD-E876EB
201553MD1321-4,,B18F67-MD-E803F4
201553MD1138-2,,1DCF67-MD-E89D11
202353MD1538-2,,3BBA7F-MD-E86416
202553CMD1016-2,AA6406-MC-E89B61,AA6406-MC-E89B61
201753MD1713-1,,A32625-MD-E84B6C
201953MD1709-1,,0965A9-MD-E84104
202353MD1306-3,,5A655B-MD-E8EBE0
202553MD1151-1,,7FFC46-MD-E886FE
201753MD1634-2,,6DE625-MD-E8F359
201753MD1461-2,,887F67-MD-E83D0B
202453MD1007-1,,DC7C5B-MD-E8B632
202553CMD1096-1,26DEDB-MC-E87581,
202053MD1080-1,,081FB2-MD-E852B0
1453MD1392-2,,48CD0B-MD-E831C9
201753MD1210-1,,25498B-MD-E8C902
202253MD1910-2,,25E625-MD-E8B544
202153MD1358-2,,2C0625-MD-E8AA96
201553MD1751-1,,277F65-MD-E8FCA8
201653MD1947-2,,224878-MD-E8DA0E
201753MD1674-1,,F58C46-MD-E8395C
202453MD1411-1,,B65206-MD-E88D95
201753MD1482-3,,716DFD-MD-E80583
202253MD1640-1,,3EBC46-MD-E8AF07
202553MD1808-1,,047C46-MD-E86431
202053MD1601-1,,9595A9-MD-E89BE3
201553MD1468-1,,F81F67-MD-E83AFA
202453MD1197-1,,5775A9-MD-E85A6C
201853MD1356-1,,A89C46-MD-E8A53F
1453MD1590-1,,E20F67-MD-E84A74
202453MD1795-2,,25C43B-MD-E8DA6F
201553MD1455-1,,86A87B-MD-E8F140
1253MD1317-1,,7BB21B-MD-E8B481
201553MD1593-1,,528206-MD-E800EE
202553MD1865-1,,C9B157-MD-E88434
1453MD1200-1,,3C7BAB-MD-E88136
201853MD1206-2,,1ED5EB-MD-E8539F
202053MD1020-1,,97AA7F-MD-E8CD31
202253MD1061-1,,A1BE67-MD-E8D514
1153MD1178-2,,22B5A9-MD-E8C8DA
202353CMD1037-2,B86596-MC-E82E3B,B86596-MC-E82E3B
1453MD1596-2,,C4CC46-MD-E8AA14
202153MD1439-3,,12175C-MD-E8D9EF
201853MD1086-2,,7B5DFD-MD-E80E46
202453MD1249-1,,BA5C46-MD-E893B0
201653MD1417-1,,5B6C46-MD-E80664
201553MD1213-1,,61F4A9-MD-E8AEB0
202353MD1245-1,,B38457-MD-E8DA65
202153MD1701-1,,393625-MD-E83041
202153MD1412-2,,CFB14C-MD-E89D5A
202353MD1358-1,,028457-MD-E829EB
1453MD1462-1,,62AC46-MD-E8620C
202253MD1133-2,,3D167B-MD-E88F6F
202353MD1045-2,,9F5C46-MD-E864E2   
202153CMD1110-2,3FD3AC-MC-E84C64,
201553MD1483-2,,675DFD-MD-E89A1B
201653MD1642-1,,8BFAEC-MD-E8A557
202453MD1090-2,,5C542C-MD-E8D992
202253MD1360-1,,E5CC46-MD-E88EC2
202253CMD1082-2,B86406-MC-E85D68,
202253MD1907-1,,B12457-MD-E8603B
202053MD1621-1,,95905C-MD-E85839
202153MD1005-1,,150EDC-MD-E8E974
201853MD1239-1,,140DEC-MD-E89721
202053MD1455-1,,569F67-MD-E82228
202353MD1402-1,,8E4C46-MD-E80EBE
202253MD1130-1,,78F1AB-MD-E81427
201753MD1547-3,,60817C-MD-E8853D
201953MD1751-2,,CFB457-MD-E8CC25
201953MD1536-1,,D4EC46-MD-E87D39
202153MD1192-1,,1D5E8C-MD-E8965F
1353MD1294-2,,F991CC-MD-E8BA62
1453MD1135-1,,5FE457-MD-E8F5CD
201553MD1118-1,,839457-MD-E87FC3
201753MD1655-3,,514DFD-MD-E817EE
202453CMD1039-2,04626B-MC-E88ECA,04626B-MC-E88ECA
1353MD1112-1,,7F4DFD-MD-E80DED
201953MD1699-2,,ED5457-MD-E88FF3
202453MD1565-1,,3E5C46-MD-E85447
201753MD1182-1,,05266B-MD-E862C0
201653MD1675-3,,5FD457-MD-E89BBF
202553CMD1133-1,E3B345-MC-E87307,
1153MD1019-3,,D9EC46-MD-E8DF1F
202153MD1360-1,,A30457-MD-E8F51E
1453MD1467-2,,B1050C-MD-E82742
201953MD1629-2,,E81E67-MD-E8603E
201753MD1693-2,,9A55A9-MD-E8813E
1453MD1685-2,,14EC46-MD-E8BB13
202253MD1329-3,,C70E67-MD-E89024
201653MD1601-2,,C5BE67-MD-E821A7
202453MD1764-2,,B9E457-MD-E818A1
202353MD1303-1,,05B206-MD-E87E00
202253MD1928-2,,BC7206-MD-E8C6FD
201953MD1603-2,,990457-MD-E8D846
201653MD1523-1,,1F3C46-MD-E8FC47
202453CMD1016-2,B3D457-MC-E8620C,
1253MD1177-2,,B2FC46-MD-E81B48
201653MD1343-1,,4B6457-MD-E8BA51
202453MD1376-1,,888C46-MD-E80655
201753MD1261-2,,901457-MD-E822F1
201653MD1194-2,,10B03F-MD-E85FDC
202553MD1168-2,,2E49AD-MD-E8387A
201553MD1569-2,,761625-MD-E81723
202453MD1313-1,,7BE15D-MD-E86444
1353MD1158-2,,0E8457-MD-E89F8E
202353MD1743-1,,E8AC2D-MD-E8F0B9
201653MD1520-1,,F7FE67-MD-E87F59
202553CMD1141-1,2A5BCD-MC-E82E11,2A5BCD-MC-E82E11
1353MD1411-1,,326457-MD-E8AF87
201953MD1302-2,,C21457-MD-E8530E
202153MD1734-3,,A65C46-MD-E88A4D
201953MD1534-1,,578E67-MD-E8732D
202253CMD1087-1,A28406-MC-E823D6,
202353MD1312-3,,39DC46-MD-E8792D
201553MD1797-1,,F1C457-MD-E88923
1253MD1121-1,,C12D97-MD-E89917
1153MD1142-1,,E1916D-MD-E899F1
201553MD1238-1,,5FFC46-MD-E8AA56
202253MD1944-2,,1A078D-MD-E8F1BE
202453MD1055-2,,3F2727-MD-E8E802
202353MD1826-1,,5D5D87-MD-E8C734
201853MD1626-1,,00D457-MD-E8CE5C
201553MD1738-2,,406E67-MD-E860B9
1453MD1655-4,,E8B457-MD-E83D87
202053MD1706-2,,AB218D-MD-E8AD4A
201553MD1142-2,,83E457-MD-E85E72
202053CMD1082-3,4CBEDD-MC-E87D44,4CBEDD-MC-E87D44
202053CMD1082-2,BDAEDD-MC-E8556E,
202053MD1601-1 ,,42FC46-MD-E8CC81
202153MD1280-1,,43CC46-MD-E87304
202153MD1619-2,,EC5C46-MD-E88CE8
202353MD1334-1,,5D09CD-MD-E807EB
1453MD1382-2,,F63E67-MD-E8B50B
201753MD1734-2,,4ECC46-MD-E8282F
202353MD1653-1,,E6F457-MD-E8792C
202553CMD1047-1,02D346-MC-E821D2,02D346-MC-E821D2
202153MD1108-1,,8FBE67-MD-E8EDC3
202153CMD1111-2,05F346-MC-E83A43,
202353MD1385-1,,E9FE67-MD-E8A424
202453MD1251-2,,A54B0A-MD-E806F6
201753MD1587-1,,59AB0A-MD-E8FE78
202653MD1321-1,,A2BC46-MD-E8BC92
202053CMD1054-2,00E0BB-MC-E895BA,
1453MD1129-2,,77F457-MD-E8115B
1353MD1327-2,,38DC46-MD-E85661
1253MD1117-1,,518B0A-MD-E85531
202253CMD1001-2,04E346-MC-E80252,
1253MD1316-2,,081F67-MD-E8D3D4
202353MD1469-1,,910DDE-MD-E8E4F5
202453MD1223-1,,53E7EE-MD-E880CC
202453MD1223-1,,53E7EE-MD-E880CC
201753CMD1047-2,BD4C7E-MC-E86700 ,BD4C7E-MC-E86700 
202553MD1149-2,,A9CDFD-MD-E87BF2
202353MD1467-1,,94D45E-MD-E85F94
202153CMD1082-1,032C98-MC-E81156,
201853CMD1044-2,275596-MC-E8B7A4,275596-MC-E8B7A4
1053MD1040-1,,365727-MD-E8D628
1353MD1300-1,,FE4741-MD-E8A1DC
201953MD1757-2,,7AFC46-MD-E819F9
1353MD1135-2,,FD3457-MD-E855C4
201653MD1787-1,,F14727-MD-E85F2F
201853MD1579-1,,45E727-MD-E8BD7C
202153MD1802-2,,766881-MD-E828CB
201553MD1370-2,,938B0A-MD-E8256A
202153MD1006-1,,7EDC46-MD-E8AFB9
1053MD1072-2,,858E67-MD-E88A74
202453CMD1093-2,14C346-MC-E83E2D,14C346-MC-E83E2D
1353MD1159-1,,CBAC46-MD-E8CE98
202453MD1005-1,,9E7457-MD-E81823
202053MD1275-1,,103C46-MD-E8DB99
202053MD1365-1,,552B0A-MD-E8EDA7
201853MD1299-1,,797E67-MD-E8C892
201653MD1598-1,,1EE625-MD-E84F18
1353MD1191-1,,D7F2BE-MD-E858F2
202453MD1013-2,,CAAE67-MD-E8D668
202453MD1447-2,,78EB0A-MD-E8FA0C
201853MD1169-2,,8FF9CD-MD-E8D031
202553CMD1046-2,232302-MC-E8AD64,232302-MC-E8AD64
201853CMD1026-1,BB7406-MC-E8166C,
1253MD1317-1,,7BB21B-MD-E8B481
201753CMD1018-1,94DE0A-MC-E878D5,
202053MD1124-2,,445D87-MD-E8CB99
202453MD1177-1,,668C46-MD-E8B4CE
201753MD1581-2,,835727-MD-E834F8
202253MD1253-1,,226E67-MD-E87A7B
202153MD1086-1,,CD2457-MD-E8C132
201753MD1502-1,,CCEF67-MD-E80409
202353MD1372-2 ,,53B4A9-MD-E8AC66
201953MD1064-2,,300520-MD-E835B2
201953MD1138-1,,90C457-MD-E8D991
202353MD1251-1,,36FB0A-MD-E88AA7
1453MD1255-1,,C1DB0A-MD-E85EED
202253CMD1013-2,FBF346-MC-E8E02C,FBF346-MC-E8E02C
201753MD1333-1,,3C6727-MD-E8FD7B
201553MD1462-1,,6CC457-MD-E88343
202553MD1931-1,,B75E67-MD-E8ABB2
202353MD1511-2,,041B0A-MD-E8C050
1153MD1115-2,,261625-MD-E852EB
202453MD1182-2,,D91DC1-MD-E86165
202353MD1037-3,,780C46-MD-E8BD61
202553MD1865-1,,D91DC1-MD-E86165
201853MD1258-2,,BA2B0A-MD-E83A0E
202453MD1193-1,,690B0A-MD-E84C87
201853MD1259-1,,743B0A-MD-E8EB8A
202553MD1245-2,,951C46-MD-E80471
201853CMD1045-2,C5E010-MC-E8DC02 , 	  C5E010-MC-E8DC02 
202453MD1251-2,,A54B0A-MD-E806F6
201553MD1411-1,,693521-MD-E8C818
202153MD1312-2,,006E67-MD-E892A2
202353MD1396-1,,8ADE67-MD-E8C345
202253MD1517-2,,B1EE67-MD-E8F0D8
202353MD1298-1,,706271-MD-E87DED
202153MD1810-2,,1C6881-MD-E80EF2
201953MD1481-1,,CD2C46-MD-E88DEF
1053MD1063-1,,E0767D-MD-E8D3A4
1253MD1265-1,,58CB0A-MD-E87920
201553MD1443-2,,5A7800-MD-E80CE2
202253MD1850-1,,0EE5DB-MD-E83026
202253MD1133-2,,3D167B-MD-E88F6F
202153MD1584-1,,99BC46-MD-E85424
201753MD1072-1,,E98727-MD-E8042A
202253MD1520-2,,13C625-MD-E803EF
202153MD1725-1,,8EFB0A-MD-E8201E
202053MD1131-1,,81DC46-MD-E811AA
202553MD1804-1,,FB6C46-MD-E8EB34
202353MD1723-1,,D22DF0-MD-E81FAA
202353MD1341-2,,FA8BOA-MD-E87399
201553MD1352-1,,037727-MD-E8F5CE
201853MD1503-2,,9FBC46-MD-E8E42A
202453CMD1114-1,77BE0A-MC-E81226,
201953MD1362-1,,EDDF5B-MD-E8F9CD
201853MD1292-1,,CEAE67-MD-E84E21
202553MD1486-1,,3C0FB2-MD-E8A5C2
1453MD1411-1,,B41061-MD-E803FD
202453MD1231-1,,F29727-MD-E86220
202153MD1297-1,,08B727-MD-E87C08
202453MD1666-1,,7C9727-MD-E8D9DF
201853MD1101-2,,F4A77D-MD-E86133
202053CMD1061-2,2F0346-MC-E838FF,
202353MD1108-2,,8AE1F8-MD-E8A616
202253MD1356-2,,D40727-MD-E88D99
202153MD1531-1,,C4CC46-MD-E8AA14
202453MD1182-2,,7BE15D-MD-E86444
1153MD1069-1,,AB2727-MD-E80DA7
201753MD1587-1,,59AB0A-MD-E8FE78
202053CMD1054-2,00E0BB-MC-E895BA,
202053MD1636-1,,52DB0A-MD-E8403E
201553MD1263-1,,B6E6BC-MD-E83588
201653MD1396-2,,91075C-MD-E8C299
202353MD1183-2,,081E67-MD-E86C11
201853MD1101-2,,F4A77D-MD-E86133
202153MD1820-2,,346E67-MD-E8DF9C
201753MD1103-2,,172B0A-MD-E8FADE
202053MD1544-1,,C12D97-MD-E89917
201653MD1934-1,,D75E67-MD-E8FA53
202353MD1661-1,,F99B0A-MD-E8E39D
1353MD1299-2,,86DB0A-MD-E8DFDA
202553MD1155-2,,F4C26D-MD-E8F359
202153MD1317-1,,F59B0A-MD-E8C2D2
201953MD1126-2,,E49B0A-MD-E8D004
201853MD1108-1,,A5B496-MD-E8842C
202653MD1193-2,,AD977D-MD-E81ADA
202353MD1205-1,,2C5B0A-MD-E8325A
202253MD1821-2,,63F727-MD-E879BC
202153MD1680-2,,215625-MD-E8043B
202553MD1759-1,,FC826D-MD-E80184
201953MD1496-2,,DFE496-MD-E84C7A
201653MD1662-2,,500C46-MD-E8D8D5
201753MD1034-2 ,,CE703D-MD-E8A484
202253MD1573-2,,3CCB57-MD-E89188
1053MD1069-2,,F87B0A-MD-E8D869
202253MD1133-2,,59A727-MD-E84F99
201853MD1160-2,,D1B26D-MD-E83686
202153MD1683-1,,05E26D-MD-E8756F
202353MD1432-2,,0AEB0A-MD-E8A89A
201953MD1611-1,,F9777D-MD-E89944
202353MD1559-3,,B1FB0A-MD-E8D597
201753CMD1014-2,34C346-MC-E83495,34C346-MC-E83495
202253MD1652-2,,09987B-MD-E8F889
201953CMD1078-2,2FBE0A-MC-E8FDE1,2FBE0A-MC-E8FDE1
202253MD1814-2,,56396E-MD-E859A4
1353MD1251-1,,DA3E67-MD-E8AF07
202253MD1123-1,,0C126D-MD-E8DDE4
202153MD1111-2,,0BFA91-MD-E8BB20
201653MD1344-2,,A3877D-MD-E88072
202253MD1590-1,,2F7727-MD-E8353C
202253MD1153-1,,15EF53-MD-E84A75
202053MD1475-1,,674E67-MD-E86B20
201853MD1390-3,,0EA457-MD-E814AC
202553MD1595-1,,22EB0A-MD-E8090B
202553MD1595-1,,22EB0A-MD-E8090B
202153MD1161-1,,202233-MD-E8405B
201653MD1240-2,,D8C7BD-MD-E8B8D3
202053MD1639-2,,541727-MD-E8DA05
201753MD1164-2,,F59E67-MD-E8E0B4
202653MD1032-2,,F81727-MD-E8658F
202053MD1627-2,,8299B1-MD-E8B372
201653MD1356-2,,152E67-MD-E80072
202253MD1468-1,,FB2B0A-MD-E8DD7D
201853MD1048-1,,BEF0C1-MD-E8B3FE
201753MD1206-2,,A1E0C1-MD-E8204F
201653MD1791-1,,EF9B0A-MD-E8E0E6
201753MD1519-2,,9A7DC3-MD-E817A9
202453MD1438-1,,CF677D-MD-E84A9E
202253MD1901-3,,6D0E67-MD-E8B5E1
202353CMD1063-1,7C2BE3-MC-E8B519,
202253MD1460-1,,1A2E67-MD-E895D3
202053MD1249-1,,FB8727-MD-E85B87
201953MD1583-1,,7F887B-MD-E86A51
202053MD1386-2,,ED977D-MD-E885A7
1453MD1531-1,,EA4B0A-MD-E8FC21
202353MD1279-1,,323B0A-MD-E83862
202053MD1289-1,,3B0637-MD-E8324C
202253MD1058-2,,A8226D-MD-E899D8
201753MD1566-2,,E40457-MD-E84D30
202353MD1240-1,,C7026D-MD-E8881D
201753MD1012-1,,670E67-MD-E8F8BA
202553MD1091-2,,3DA26D-MD-E853C4
201953MD1142-1,,DA2625-MD-E85467
201553MD1813-1,,B7D16D-MD-E80C66
202253MD1298-1,,E60FB2-MD-E892DC
1153MD1045-2,,22BB0A-MD-E8E975
1353MD1228-2,,667C46-MD-E86C75
202553MD1498-1,,E9BB0A-MD-E8AD50
202053CMD1102-1,CE9E0A-MC-E8E64F,
201953MD1377-2,,9D7457-MD-E8A176
202053MD1192-1,,C10727-MD-E8D345
201353MD1262-1,,BB934D-MD-E8B049
201353MD1262-1,,BB934D-MD-E8B049
202553MD1852-1,,B825A9-MD-E89044
1353MD1110-2,,49FE67-MD-E8A965
202353MD1782-2,,6E987B-MD-E8EC16
201753MD1443-1,,778B0A-MD-E8B6BD
202353MD1154-2,,B9887B-MD-E84808
202153CMD1082-1,032C98-MC-E81156,
201853MD1074-2,,1FE67D-MD-E8E377
202453CMD1133-1,6F5596-MC-E80629,6F5596-MC-E80629
202253MD1128-2,,60F67D-MD-E80003
201553MD1419-2 ,,4B526D-MD-E87F1C
201753MD1550-3,,548180-MD-E84CE4 
202453CMD9999-1,AA2013-MC-E85B06,
202553MD1363-1,,684593-MD-E8FD3F
202353MD1467-1,,94D45E-MD-E85F94
1453MD1129-2,,77F457-MD-E8115B
202553MD1802-1,,F6277D-MD-E88CB4
202153CMD1147-2,C70641-MC-E81A94,
201653MD1417-2,,6E726D-MD-E8618F
202353MD1830-2,,09DDF7-MD-E84109
201553MD1820-1,,F59C46-MD-E80F37
202153MD1435-2,,FAD625-MD-E871B1
202153MD1592-2,,43177D-MD-E8DE27
202653MD1234-1,,FA0283-MD-E888A7
202153MD1631-1,,6FC4A9-MD-E8AE08
201553MD1758-1,,D3CE67-MD-E80237
202253MD1794-2,,DAD688-MD-E83F0F
202453MD1222-2,,98CE67-MD-E876B2
202353MD1681-1,,11BE67-MD-E8F212
201953MD1038-2,,A49B0A-MD-E83860
1353MD1412-2,,478B0A-MD-E8EEE0
202053MD1639-2,,541727-MD-E8DA05
1453MD1528-1,,EDBE67-MD-E8256F
202453MD1866-2,,EE6B0A-MD-E8BC89
1253MD1132-2,,461E67-MD-E8A475
202553MD1754-3,,35A87B-MD-E803BD
201753MD1170-2,,B68B0A-MD-E82D10
201753MD1733-1,,42377D-MD-E896A9
202253MD1690-2,,EE1B0A-MD-E8F8E5
202153MD1712-1,,6BE0C1-MD-E8374C
201653MD1408-2,,788B0A-MD-E8B3E6
201753MD1616-1,,667E67-MD-E8A9F4
201853CMD1062-2,901726-MC-E8AB7D,901726-MC-E8AB7D
201553MD1025-2,,F26042-MD-E8A692
202253MD1356-2,,133727-MD-E82C3D
202253CMD1037-1,EABE0A-MC-E8ADE2,
202053MD1347-1,,8C3B0A-MD-E805C0
202253CMD1037-2,50CE0A-MC-E8BD89,
202353CMD1071-1,440A25-MC-E893F3,
202053MD1137-1,,3A7B0A-MD-E8D62C
1253MD1131-2,,22F625-MD-E845CB
202553MD1084-2,,B6F576-MD-E83988
202453MD1182-2,,EF25D6-MD-E88B56
202353CMD1084-2,4AAE0A-MC-E87FA0,
201653MD1495-2,,E0F0B3-MD-E8A4CA
202253MD1931-2,,DCCD26-MD-E84436
202553MD1015-1,,6CFC86-MD-E827F1
201653MD1261-1,,8FE16D-MD-E8D1BE
201753MD1230-2,,BA7F65-MD-E8F606
202353MD1665-1,,5F9C86-MD-E8669F
201653MD1472-2,,BCF26D-MD-E8C141
202353MD1773-2,,240801-MD-E845F6
201953MD1612-2,,A2A496-MD-E836F9
202453MD1496-1,,313C46-MD-E8653D
202453MD1316-2,,1E516D-MD-E8DD56
202553MD1713-2,,7C4625-MD-E84B8C
